Date,Description,Amount,Category
2025-01-20,transaction at air india,5952.1,Travel
2025-02-11,transaction at apollo hospital,16681.98,Healthcare
2025-10-20,transaction at netflix,686.43,Entertainment
2025-06-26,transaction at aha,470.93,Entertainment
2025-12-08,transaction at kauvery,5932.64,Healthcare
2025-07-08,transaction at metro rail,297.21,Transport
2025-12-21,transaction at samsung store,17321.1,Electronics
2025-05-14,transaction at bmtc,1982.19,Transport
2025-01-31,transaction at allen solly,4396.8,Clothing
2025-12-13,transaction at youtube premium,702.17,Entertainment
2025-05-11,transaction at ajio,2962.18,Online Shopping
2025-10-27,transaction at act fibernet,5125.96,Bills
2025-06-30,transaction at hotstar,986.05,Entertainment
2025-01-30,transaction at taco bell,1403.73,Food
2025-03-14,transaction at sony center,83348.78,Electronics
2025-09-11,transaction at tata cliq,7523.44,Online Shopping
2025-05-30,transaction at cloudnine,1597.44,Healthcare
2025-05-23,transaction at bmtc,704.99,Transport
2025-09-09,transaction at indigo,20443.98,Travel
2025-07-28,transaction at tata cliq,838.07,Online Shopping
2025-12-25,transaction at flipkart,2781.65,Online Shopping
2025-04-26,transaction at jiomart,1373.63,Grocery
2025-01-12,transaction at spotify,728.33,Entertainment
2025-07-04,transaction at cloudnine,10120.42,Healthcare
2025-01-01,transaction at cream stone,284.41,Food
2025-02-18,transaction at pepperfry,14478.56,Online Shopping
2025-08-05,transaction at taco bell,1323.23,Food
2025-08-17,transaction at airtel,5565.33,Bills
2025-08-08,transaction at redbus,1828.95,Transport
2025-04-21,transaction at sony center,13850.43,Electronics
2025-05-06,transaction at asus store,84106.92,Electronics
2025-03-21,transaction at reliance digital,16504.01,Electronics
2025-12-24,transaction at dominos,826.72,Food
2025-02-02,transaction at star bazaar,4272.6,Grocery
2025-03-10,transaction at redbus,914.33,Transport
2025-09-03,transaction at starbucks,809.7,Food
2025-03-27,transaction at hotstar,628.57,Entertainment
2025-03-26,transaction at yulu bikes,896.34,Transport
2025-02-17,transaction at nykaa,6777.73,Online Shopping
2025-02-05,transaction at zee5,281.8,Entertainment
2025-12-27,transaction at water board,1290.62,Bills
2025-12-15,transaction at oneplus,81131.72,Electronics
2025-06-16,transaction at more supermarket,357.4,Grocery
2025-12-16,transaction at kauvery,5616.2,Healthcare
2025-02-20,transaction at apple music,711.43,Entertainment
2025-04-07,transaction at booking.com,1922.4,Travel
2025-11-09,transaction at adidas,1745.8,Clothing
2025-02-20,transaction at hotstar,153.64,Entertainment
2025-12-29,transaction at zara,533.34,Clothing
2025-01-14,transaction at woodland,6265.63,Clothing
2025-05-29,transaction at boat lifestyle,48970.62,Electronics
2025-11-01,transaction at vivo store,101981.92,Electronics
2025-10-14,transaction at netflix,183.62,Entertainment
2025-01-03,transaction at apollo pharmacy,2631.3,Healthcare
2025-03-05,transaction at apple store,117559.6,Electronics
2025-04-21,transaction at noise,144976.97,Electronics
2025-05-19,transaction at jiomart,4116.06,Grocery
2025-06-05,transaction at hp world,4362.92,Electronics
2025-09-12,transaction at uber,205.94,Transport
2025-03-24,transaction at indigo,19470.74,Travel
2025-09-15,transaction at gaana,921.1,Entertainment
2025-01-20,transaction at starbucks,955.61,Food
2025-04-05,transaction at yatra,15334.83,Travel
2025-05-16,transaction at yatra,27289.83,Travel
2025-12-30,transaction at gaana,249.52,Entertainment
2025-11-17,transaction at apple music,413.32,Entertainment
2025-05-09,transaction at pizza hut,174.37,Food
2025-07-02,transaction at vodafone idea,3972.2,Bills
2025-07-08,transaction at biba,7257.52,Clothing
2025-12-16,transaction at nykaa,6093.44,Online Shopping
2025-05-17,transaction at metro rail,1685.31,Transport
2025-01-16,transaction at zee5,716.63,Entertainment
2025-02-12,transaction at tneb,3171.52,Bills
2025-11-19,transaction at indigo,11439.56,Travel
2025-02-19,transaction at oneplus,20558.66,Electronics
2025-07-08,transaction at makemytrip,3959.15,Travel
2025-10-04,transaction at fortis,3905.2,Healthcare
2025-11-13,transaction at vodafone idea,3300.38,Bills
2025-05-30,transaction at cloudnine,8504.76,Healthcare
2025-12-08,transaction at meesho,12720.51,Online Shopping
2025-06-28,transaction at indigo,9889.33,Travel
2025-03-09,transaction at fortis,7935.36,Healthcare
2025-06-25,transaction at nature's basket,2172.82,Grocery
2025-03-29,transaction at spencers,4099.11,Grocery
2025-02-14,transaction at paradise biryani,817.54,Food
2025-03-26,transaction at dmart,4298.09,Grocery
2025-11-11,transaction at yatra,6725.91,Travel
2025-10-27,transaction at ajio,9975.53,Online Shopping
2025-10-20,transaction at reliance fresh,3906.33,Grocery
2025-01-14,transaction at gas agency,616.08,Bills
2025-12-24,transaction at kfc,1244.48,Food
2025-04-03,transaction at lenskart,12302.47,Online Shopping
2025-11-29,transaction at yatra,3359.21,Travel
2025-02-19,transaction at apollo hospital,17695.87,Healthcare
2025-06-28,transaction at apple store,28957.72,Electronics
2025-01-04,transaction at netmeds,18244.2,Healthcare
2025-10-11,transaction at yatra,18819.86,Travel
2025-11-03,transaction at adidas,3260.49,Clothing
2025-11-10,transaction at vodafone idea,2414.34,Bills
2025-10-17,transaction at bigbazaar,3576.87,Grocery
2025-07-07,transaction at vivo store,109273.86,Electronics
2025-08-30,transaction at jiomart,4939.24,Grocery
2025-07-07,transaction at yulu bikes,405.13,Transport
2025-11-23,transaction at bsnl,4529.83,Bills
2025-03-30,transaction at pizza hut,929.66,Food
2025-03-20,transaction at ajio,13375.83,Online Shopping
2025-01-18,transaction at 1mg,14683.48,Healthcare
2025-02-10,transaction at tata cliq,11717.81,Online Shopping
2025-08-08,transaction at gas agency,2198.18,Bills
2025-04-12,transaction at gaana,707.6,Entertainment
2025-10-20,transaction at ajio,12224.59,Online Shopping
2025-04-05,transaction at vistara,3975.25,Travel
2025-09-13,transaction at nilgiris,1672.23,Grocery
2025-11-24,transaction at uber,1176.63,Transport
2025-07-06,transaction at tneb,3182.63,Bills
2025-09-17,transaction at more supermarket,1329.62,Grocery
2025-01-09,transaction at rapido,1837.58,Transport
2025-06-18,transaction at booking.com,3098.91,Travel
2025-08-28,transaction at pharmeasy,10129.39,Healthcare
2025-02-21,transaction at zara,1376.3,Clothing
2025-07-09,transaction at airtel,442.96,Bills
2025-05-17,transaction at star bazaar,2377.25,Grocery
2025-08-02,transaction at indigo,9702.17,Travel
2025-03-18,transaction at jio fiber,4919.21,Bills
2025-03-17,transaction at amazon prime,739.18,Entertainment
2025-04-21,transaction at burger king,242.09,Food
2025-08-23,transaction at myntra,2991.11,Online Shopping
2025-08-08,transaction at pepperfry,11826.44,Online Shopping
2025-12-10,transaction at a2b,1386.13,Food
2025-04-26,transaction at apollo pharmacy,2891.65,Healthcare
2025-10-13,transaction at dominos,1249.18,Food
2025-08-04,transaction at more supermarket,534.64,Grocery
2025-12-11,transaction at a2b,1005.65,Food
2025-12-23,transaction at sonyliv,691.29,Entertainment
2025-12-08,transaction at woodland,3076.37,Clothing
2025-05-08,transaction at nilgiris,4383.89,Grocery
2025-05-25,transaction at apollo hospital,739.48,Healthcare
2025-07-01,transaction at bsnl,5547.68,Bills
2025-12-04,transaction at us polo,1175.37,Clothing
2025-03-18,transaction at bsnl,4488.51,Bills
2025-09-19,transaction at nilgiris,2133.83,Grocery
2025-03-17,transaction at croma,16594.0,Electronics
2025-02-24,transaction at ccd,643.22,Food
2025-09-18,transaction at water board,627.92,Bills
2025-05-08,transaction at amazon prime,829.98,Entertainment
2025-10-24,transaction at bigbazaar,2917.59,Grocery
2025-07-03,transaction at apple store,72953.28,Electronics
2025-05-08,transaction at nykaa,7942.89,Online Shopping
2025-05-22,transaction at flipkart,16727.62,Online Shopping
2025-08-20,transaction at tata cliq,8421.88,Online Shopping
2025-02-17,transaction at dmart,2066.03,Grocery
2025-08-06,transaction at air india,20469.36,Travel
2025-11-10,transaction at dmart,789.55,Grocery
2025-05-06,transaction at makemytrip,21463.0,Travel
2025-12-01,transaction at taco bell,522.86,Food
2025-03-12,transaction at taco bell,1104.21,Food
2025-03-20,transaction at sonyliv,426.4,Entertainment
2025-12-02,transaction at mcdonalds,498.78,Food
2025-11-21,transaction at irctc,25964.97,Travel
2025-12-11,transaction at airtel,5553.49,Bills
2025-01-06,transaction at croma,91112.19,Electronics
2025-01-16,transaction at oyo,2990.68,Travel
2025-07-22,transaction at apple music,631.37,Entertainment
2025-10-27,transaction at amazon,11880.24,Online Shopping
2025-01-29,transaction at ajio,4404.16,Online Shopping
2025-05-28,transaction at cream stone,328.01,Food
2025-04-02,transaction at aha,138.13,Entertainment
2025-12-11,transaction at ajio,5260.41,Online Shopping
2025-09-21,transaction at nykaa,3257.94,Online Shopping
2025-09-20,transaction at property tax online,2324.43,Bills
2025-02-21,transaction at lenskart,16971.6,Online Shopping
2025-05-19,transaction at subway,1222.84,Food
2025-08-09,transaction at apple music,499.41,Entertainment
2025-10-04,transaction at nilgiris,718.71,Grocery
2025-03-30,transaction at pepperfry,5690.16,Online Shopping
2025-07-18,transaction at pizza hut,297.58,Food
2025-12-23,transaction at yulu bikes,827.96,Transport
2025-01-27,transaction at jiomart,1462.23,Grocery
2025-04-17,transaction at jiomart,3778.41,Grocery
2025-12-28,transaction at tneb,4438.48,Bills
2025-08-27,transaction at booking.com,24831.54,Travel
2025-10-10,transaction at jiomart,3115.42,Grocery
2025-03-09,transaction at vivo store,63376.59,Electronics
2025-05-01,transaction at snapdeal,18832.83,Online Shopping
2025-08-12,transaction at vivo store,99170.46,Electronics
2025-07-19,transaction at h&m,3782.01,Clothing
2025-01-09,transaction at pepperfry,3701.78,Online Shopping
2025-06-21,transaction at netmeds,19357.71,Healthcare
2025-11-03,transaction at burger king,212.43,Food
2025-03-10,transaction at tsrtc,751.02,Transport
2025-04-15,transaction at boat lifestyle,68623.3,Electronics
2025-11-16,transaction at pantaloons,5357.58,Clothing
2025-12-27,transaction at saravana bhavan,483.23,Food
2025-06-09,transaction at flipkart,4825.61,Online Shopping
2025-03-05,transaction at nilgiris,4807.08,Grocery
2025-10-04,transaction at tata cliq,11378.25,Online Shopping
2025-05-18,transaction at airtel,969.68,Bills
2025-08-07,transaction at burger king,512.89,Food
2025-12-26,transaction at pharmeasy,1171.38,Healthcare
2025-11-10,transaction at pepperfry,18994.29,Online Shopping
2025-02-17,transaction at samsung store,70919.57,Electronics
2025-08-12,transaction at dominos,659.55,Food
2025-12-04,transaction at zee5,603.26,Entertainment
2025-12-19,transaction at oyo,5912.56,Travel
2025-10-25,transaction at saravana bhavan,1336.94,Food
2025-10-12,transaction at allen solly,3047.62,Clothing
2025-08-26,transaction at indigo,3983.34,Travel
2025-02-03,transaction at act fibernet,3168.23,Bills
2025-07-14,transaction at hp world,108452.24,Electronics
2025-01-31,transaction at yulu bikes,1727.78,Transport
2025-03-03,transaction at bmtc,275.5,Transport
2025-12-27,transaction at more supermarket,857.34,Grocery
2025-06-09,transaction at dominos,1236.4,Food
2025-12-23,transaction at rapido,649.59,Transport
2025-11-25,transaction at pepperfry,19791.74,Online Shopping
2025-10-25,transaction at airasia,29817.3,Travel
2025-06-14,transaction at sonyliv,155.59,Entertainment
2025-08-05,transaction at cloudnine,13087.49,Healthcare
2025-02-18,transaction at reliance fresh,4718.87,Grocery
2025-03-14,transaction at makemytrip,10106.87,Travel
2025-01-08,transaction at biba,5125.54,Clothing
2025-06-11,transaction at more supermarket,2111.08,Grocery
2025-11-22,transaction at adidas,5570.73,Clothing
2025-02-04,transaction at indigo,25679.52,Travel
2025-01-29,transaction at bsnl,613.3,Bills
2025-09-26,transaction at hotstar,957.14,Entertainment
2025-09-02,transaction at myntra,7073.38,Online Shopping
2025-10-07,transaction at yulu bikes,391.78,Transport
2025-04-23,transaction at apollo hospital,15832.68,Healthcare
2025-11-11,transaction at aha,99.83,Entertainment
2025-12-27,transaction at gaana,616.47,Entertainment
2025-03-01,transaction at bigbazaar,4644.64,Grocery
2025-09-25,transaction at vodafone idea,2179.98,Bills
2025-02-26,transaction at amazon prime,501.86,Entertainment
2025-07-01,transaction at snapdeal,11676.07,Online Shopping
2025-05-27,transaction at vistara,11372.87,Travel
2025-03-20,transaction at ajio,16290.41,Online Shopping
2025-01-19,transaction at meru cabs,918.39,Transport
2025-06-05,transaction at amazon prime,927.43,Entertainment
2025-04-30,transaction at indigo,4190.37,Travel
2025-05-23,transaction at meesho,669.3,Online Shopping
2025-07-02,transaction at amazon prime,750.88,Entertainment
2025-09-21,transaction at youtube premium,180.49,Entertainment
2025-01-17,transaction at pharmeasy,8062.42,Healthcare
2025-09-21,transaction at flipkart,3324.83,Online Shopping
2025-10-29,transaction at taco bell,633.56,Food
2025-09-09,transaction at yatra,1308.81,Travel
2025-12-26,transaction at netmeds,4422.02,Healthcare
2025-06-02,transaction at nature's basket,2644.27,Grocery
2025-11-08,transaction at airasia,19294.43,Travel
2025-06-17,transaction at saravana bhavan,242.0,Food
2025-05-26,transaction at subway,1109.76,Food
2025-01-27,transaction at indigo,4228.14,Travel
2025-09-24,transaction at mi store,142587.66,Electronics
2025-09-22,transaction at adidas,3705.34,Clothing
2025-07-23,transaction at sonyliv,151.86,Entertainment
2025-11-06,transaction at flipkart,10972.07,Online Shopping
2025-11-30,transaction at redbus,470.1,Transport
2025-04-26,transaction at medplus,13032.47,Healthcare
2025-11-01,transaction at youtube premium,758.92,Entertainment
2025-05-29,transaction at tata cliq,14037.3,Online Shopping
2025-01-02,transaction at indigo,1310.56,Travel
2025-03-31,transaction at pepperfry,13619.07,Online Shopping
2025-11-23,transaction at tsrtc,911.19,Transport
2025-10-01,transaction at myntra,4060.4,Online Shopping
2025-07-24,transaction at airasia,14670.27,Travel
2025-09-16,transaction at levis,6362.18,Clothing
2025-08-09,transaction at redbus,1726.39,Transport
2025-06-09,transaction at pharmeasy,1503.4,Healthcare
2025-10-19,transaction at pantaloons,4013.75,Clothing
2025-10-31,transaction at amazon prime,948.58,Entertainment
2025-01-28,transaction at makemytrip,18182.37,Travel
2025-12-13,transaction at nature's basket,3951.44,Grocery
2025-08-22,transaction at netflix,318.35,Entertainment
2025-06-11,transaction at redbus,1337.91,Transport
2025-07-25,transaction at netflix,411.54,Entertainment
2025-07-16,transaction at dominos,1173.15,Food
2025-01-07,transaction at 1mg,5915.31,Healthcare
2025-09-25,transaction at redbus,647.8,Transport
2025-03-01,transaction at kfc,1391.99,Food
2025-06-16,transaction at kfc,716.57,Food
2025-06-23,transaction at asus store,51012.52,Electronics
2025-06-23,transaction at ccd,647.45,Food
2025-03-24,transaction at tata cliq,1790.8,Online Shopping
2025-12-28,transaction at irctc,11938.91,Travel
2025-09-04,transaction at a2b,923.34,Food
2025-07-19,transaction at bsnl,2466.57,Bills
2025-08-01,transaction at makemytrip,711.42,Travel
2025-07-12,transaction at gas agency,3114.58,Bills
2025-10-30,transaction at nykaa,5289.31,Online Shopping
2025-12-14,transaction at aha,575.62,Entertainment
2025-03-01,transaction at star bazaar,2596.25,Grocery
2025-05-23,transaction at apple music,463.83,Entertainment
2025-02-26,transaction at zara,7724.55,Clothing
2025-08-10,transaction at yulu bikes,497.37,Transport
2025-12-08,transaction at a2b,533.28,Food
2025-04-22,transaction at tneb,3094.6,Bills
2025-01-16,transaction at amazon,16163.41,Online Shopping
2025-03-08,transaction at irctc,28156.44,Travel
2025-06-12,transaction at uber,858.21,Transport
2025-07-25,transaction at boat lifestyle,41879.08,Electronics
2025-04-29,transaction at apollo pharmacy,17508.96,Healthcare
2025-02-28,transaction at dell exclusive,44535.67,Electronics
2025-06-12,transaction at burger king,1482.48,Food
2025-12-08,transaction at apollo pharmacy,5179.58,Healthcare
2025-05-15,transaction at jiomart,3888.14,Grocery
2025-06-30,transaction at taco bell,485.5,Food
2025-03-12,transaction at makemytrip,17031.73,Travel
2025-07-16,transaction at reliance fresh,3531.18,Grocery
2025-04-20,transaction at tneb,5773.77,Bills
2025-09-09,transaction at yatra,15370.31,Travel
2025-03-20,transaction at max fashion,7865.01,Clothing
2025-03-07,transaction at gaana,771.64,Entertainment
2025-11-13,transaction at croma,86050.58,Electronics
2025-07-26,transaction at vodafone idea,2488.2,Bills
2025-02-05,transaction at nykaa,15289.18,Online Shopping
2025-07-27,transaction at aster,14374.2,Healthcare
2025-08-20,transaction at tsrtc,552.84,Transport
2025-02-28,transaction at subway,584.77,Food
2025-08-24,transaction at biba,3984.7,Clothing
2025-09-18,transaction at barbeque nation,225.83,Food
2025-03-05,transaction at lenskart,12167.39,Online Shopping
2025-07-08,transaction at 1mg,4706.32,Healthcare
2025-12-10,transaction at apollo hospital,4280.45,Healthcare
2025-05-31,transaction at cloudnine,13688.77,Healthcare
2025-12-20,transaction at youtube premium,952.79,Entertainment
2025-12-15,transaction at vivo store,114052.4,Electronics
2025-08-29,transaction at fortis,16563.55,Healthcare
2025-10-03,transaction at bmtc,341.51,Transport
2025-02-23,transaction at metro rail,1380.2,Transport
2025-10-20,transaction at sonyliv,454.06,Entertainment
2025-06-07,transaction at apple music,864.11,Entertainment
2025-08-12,transaction at woodland,6462.69,Clothing
2025-12-19,transaction at airasia,27975.54,Travel
2025-02-10,transaction at airtel,2083.94,Bills
2025-10-10,transaction at rapido,1659.59,Transport
2025-10-09,transaction at netmeds,14081.65,Healthcare
2025-12-30,transaction at max fashion,7719.07,Clothing
2025-12-21,transaction at gaana,514.7,Entertainment
2025-07-02,transaction at airasia,25965.32,Travel
2025-12-09,transaction at hotstar,331.5,Entertainment
2025-02-17,transaction at medplus,9109.9,Healthcare
2025-07-03,transaction at vodafone idea,1980.93,Bills
2025-12-29,transaction at asus store,28844.76,Electronics
2025-02-20,transaction at ccd,1216.66,Food
2025-11-14,transaction at tata cliq,12249.5,Online Shopping
2025-02-22,transaction at irctc,28407.42,Travel
2025-05-27,transaction at a2b,430.59,Food
2025-03-10,transaction at boat lifestyle,72988.29,Electronics
2025-02-06,transaction at ola,237.18,Transport
2025-04-06,transaction at netflix,307.22,Entertainment
2025-10-17,transaction at pepperfry,6589.03,Online Shopping
2025-02-12,transaction at starbucks,733.84,Food
2025-06-16,transaction at flipkart,13686.78,Online Shopping
2025-05-08,transaction at apollo pharmacy,3853.02,Healthcare
2025-12-16,transaction at starbucks,1342.17,Food
2025-05-18,transaction at pizza hut,675.19,Food
2025-05-20,transaction at water board,4197.89,Bills
2025-03-12,transaction at redbus,1044.41,Transport
2025-10-19,transaction at a2b,376.89,Food
2025-07-24,transaction at gas agency,3522.02,Bills
2025-01-24,transaction at flipkart,19236.46,Online Shopping
2025-01-01,transaction at aha,241.25,Entertainment
2025-03-12,transaction at metro rail,908.94,Transport
2025-10-14,transaction at fortis,10531.94,Healthcare
2025-12-08,transaction at jio fiber,243.95,Bills
2025-01-29,transaction at meru cabs,1981.27,Transport
2025-05-02,transaction at medplus,12835.69,Healthcare
2025-02-19,transaction at bsnl,3019.68,Bills
2025-08-27,transaction at taco bell,754.31,Food
2025-05-26,transaction at h&m,2357.37,Clothing
2025-04-13,transaction at us polo,3734.99,Clothing
2025-12-31,transaction at spotify,103.51,Entertainment
2025-03-10,transaction at cream stone,497.17,Food
2025-07-04,transaction at apollo pharmacy,16457.98,Healthcare
2025-07-21,transaction at jiomart,2272.22,Grocery
2025-04-28,transaction at levis,1619.54,Clothing
2025-02-10,transaction at ola,481.64,Transport
2025-06-15,transaction at ccd,1347.75,Food
2025-09-19,transaction at youtube premium,915.46,Entertainment
2025-08-07,transaction at woodland,5579.89,Clothing
2025-11-18,transaction at redbus,433.62,Transport
2025-08-20,transaction at tata cliq,11302.02,Online Shopping
2025-02-06,transaction at myntra,17133.19,Online Shopping
2025-04-15,transaction at subway,548.69,Food
2025-06-01,transaction at airtel,2221.56,Bills
2025-07-22,transaction at flipkart,4922.32,Online Shopping
2025-04-08,transaction at biba,4972.83,Clothing
2025-11-16,transaction at sony center,51855.47,Electronics
2025-05-01,transaction at flipkart,1474.18,Online Shopping
2025-07-13,transaction at bigbazaar,1314.67,Grocery
2025-12-21,transaction at dell exclusive,105066.91,Electronics
2025-07-26,transaction at nilgiris,2453.61,Grocery
2025-03-14,transaction at airtel,2522.7,Bills
2025-05-08,transaction at ola,87.36,Transport
2025-09-12,transaction at gas agency,5965.42,Bills
2025-04-04,transaction at zee5,670.11,Entertainment
2025-02-17,transaction at vodafone idea,1857.65,Bills
2025-06-25,transaction at ajio,18324.08,Online Shopping
2025-06-12,transaction at bigbazaar,3499.51,Grocery
2025-02-20,transaction at myntra,2699.49,Online Shopping
2025-03-17,transaction at nature's basket,608.18,Grocery
2025-03-27,transaction at aster,8630.26,Healthcare
2025-04-20,transaction at spencers,3647.32,Grocery
2025-06-28,transaction at chai point,693.82,Food
2025-08-08,transaction at spotify,286.64,Entertainment
2025-03-08,transaction at redbus,149.49,Transport
2025-05-16,transaction at burger king,121.11,Food
2025-09-14,transaction at nykaa,5006.92,Online Shopping
2025-09-06,transaction at tsrtc,1367.59,Transport
2025-09-17,transaction at sony center,74144.84,Electronics
2025-07-26,transaction at flipkart,17805.48,Online Shopping
2025-11-02,transaction at gaana,466.87,Entertainment
2025-01-24,transaction at asus store,114658.74,Electronics
2025-11-21,transaction at boat lifestyle,63126.18,Electronics
2025-07-22,transaction at dmart,4520.89,Grocery
2025-05-28,transaction at pantaloons,3711.92,Clothing
2025-10-22,transaction at uber,1814.0,Transport
2025-05-17,transaction at zee5,725.04,Entertainment
2025-03-04,transaction at medplus,10656.21,Healthcare
2025-11-01,transaction at medplus,5480.15,Healthcare
2025-09-14,transaction at irctc,8686.28,Travel
2025-04-10,transaction at jiomart,2911.82,Grocery
2025-01-15,transaction at cream stone,1095.79,Food
2025-10-17,transaction at medplus,2470.24,Healthcare
2025-03-23,transaction at paradise biryani,1381.26,Food
2025-10-12,transaction at meesho,878.42,Online Shopping
2025-07-28,transaction at cream stone,1201.6,Food
2025-10-17,transaction at star bazaar,1838.04,Grocery
2025-01-10,transaction at zara,3897.33,Clothing
2025-05-25,transaction at meru cabs,123.67,Transport
2025-08-27,transaction at uber,905.47,Transport
2025-07-07,transaction at act fibernet,4835.37,Bills
2025-07-08,transaction at allen solly,2347.76,Clothing
2025-12-19,transaction at youtube premium,475.91,Entertainment
2025-03-28,transaction at allen solly,5577.84,Clothing
2025-05-07,transaction at cloudnine,14464.14,Healthcare
2025-02-11,transaction at yulu bikes,1852.26,Transport
2025-12-31,transaction at airasia,21195.5,Travel
2025-02-23,transaction at reliance digital,47672.43,Electronics
2025-02-09,transaction at meesho,18826.29,Online Shopping
2025-12-07,transaction at booking.com,1904.74,Travel
2025-10-03,transaction at makemytrip,14597.06,Travel
2025-05-22,transaction at amazon prime,834.88,Entertainment
2025-09-02,transaction at hp world,130859.65,Electronics
2025-09-09,transaction at nature's basket,664.81,Grocery
2025-08-24,transaction at makemytrip,2757.21,Travel
2025-11-28,transaction at amazon,3248.68,Online Shopping
2025-03-29,transaction at fortis,9827.99,Healthcare
2025-12-06,transaction at lenskart,783.38,Online Shopping
2025-11-20,transaction at fortis,3969.19,Healthcare
2025-03-08,transaction at meru cabs,268.15,Transport
2025-10-21,transaction at water board,1456.52,Bills
2025-06-19,transaction at paradise biryani,1378.25,Food
2025-07-14,transaction at saravana bhavan,215.36,Food
2025-09-26,transaction at reliance digital,65943.25,Electronics
2025-11-29,transaction at uber,607.47,Transport
2025-02-05,transaction at snapdeal,6507.75,Online Shopping
2025-05-12,transaction at flipkart,13904.33,Online Shopping
2025-04-20,transaction at netflix,796.72,Entertainment
2025-02-01,transaction at more supermarket,4205.24,Grocery
2025-03-26,transaction at redbus,1747.46,Transport
2025-06-12,transaction at 1mg,19131.44,Healthcare
2025-05-11,transaction at netflix,438.34,Entertainment
2025-05-18,transaction at vodafone idea,337.62,Bills
2025-04-24,transaction at irctc,21291.42,Travel
2025-04-04,transaction at irctc,1519.58,Travel
2025-06-24,transaction at spotify,221.53,Entertainment
2025-05-17,transaction at meru cabs,250.15,Transport
2025-03-17,transaction at spencers,4383.09,Grocery
2025-08-07,transaction at subway,853.88,Food
2025-03-30,transaction at tata cliq,15375.04,Online Shopping
2025-12-01,transaction at noise,97430.82,Electronics
2025-03-01,transaction at irctc,2496.95,Travel
2025-05-09,transaction at air india,11557.57,Travel
2025-07-11,transaction at goibibo,17366.05,Travel
2025-03-26,transaction at goibibo,10062.4,Travel
2025-05-12,transaction at reliance fresh,3311.14,Grocery
2025-08-30,transaction at airtel,2483.13,Bills
2025-07-26,transaction at boat lifestyle,53150.81,Electronics
2025-06-26,transaction at levis,847.61,Clothing
2025-04-10,transaction at bigbazaar,448.72,Grocery
2025-03-26,transaction at vistara,23383.94,Travel
2025-06-30,transaction at netflix,841.24,Entertainment
2025-03-01,transaction at netflix,869.52,Entertainment
2025-12-20,transaction at pharmeasy,11288.62,Healthcare
2025-07-04,transaction at burger king,104.99,Food
2025-12-03,transaction at amazon,14206.76,Online Shopping
2025-04-21,transaction at goibibo,22087.93,Travel
2025-09-10,transaction at irctc,4831.09,Travel
2025-06-28,transaction at puma,6807.54,Clothing
2025-01-16,transaction at netflix,963.96,Entertainment
2025-03-19,transaction at ajio,9612.2,Online Shopping
2025-12-22,transaction at gaana,510.6,Entertainment
2025-02-10,transaction at property tax online,1757.04,Bills
2025-12-19,transaction at apollo hospital,10807.71,Healthcare
2025-09-03,transaction at nykaa,14126.42,Online Shopping
2025-09-14,transaction at airasia,21982.39,Travel
2025-04-04,transaction at ola,1635.97,Transport
2025-10-18,transaction at cloudnine,16282.69,Healthcare
2025-05-07,transaction at indigo,12184.4,Travel
2025-09-20,transaction at bsnl,2991.84,Bills
2025-01-08,transaction at meesho,9256.43,Online Shopping
2025-03-06,transaction at dominos,657.5,Food
2025-03-22,transaction at aster,9501.15,Healthcare
2025-01-04,transaction at lenskart,8910.28,Online Shopping
2025-06-29,transaction at tata cliq,18813.02,Online Shopping
2025-10-30,transaction at metro rail,1090.93,Transport
2025-04-28,transaction at myntra,2999.44,Online Shopping
2025-03-26,transaction at gas agency,4376.74,Bills
2025-08-14,transaction at tneb,1016.78,Bills
2025-12-07,transaction at nilgiris,2155.9,Grocery
2025-10-12,transaction at amazon,11782.88,Online Shopping
2025-09-25,transaction at kauvery,2179.5,Healthcare
2025-05-23,transaction at apollo pharmacy,9747.14,Healthcare
2025-08-26,transaction at croma,101364.36,Electronics
2025-11-13,transaction at kfc,844.53,Food
2025-01-15,transaction at vivo store,68611.46,Electronics
2025-04-01,transaction at cream stone,719.47,Food
2025-08-22,transaction at levis,5627.87,Clothing
2025-05-08,transaction at makemytrip,12454.55,Travel
2025-10-19,transaction at bsnl,351.06,Bills
2025-07-28,transaction at meesho,16544.33,Online Shopping
2025-06-05,transaction at amazon,9108.43,Online Shopping
2025-01-29,transaction at biba,7790.96,Clothing
2025-07-11,transaction at a2b,171.19,Food
2025-11-28,transaction at tneb,2165.98,Bills
2025-09-21,transaction at fortis,11799.17,Healthcare
2025-03-14,transaction at zee5,653.83,Entertainment
2025-01-27,transaction at nature's basket,2888.22,Grocery
2025-09-01,transaction at adidas,4188.29,Clothing
2025-06-25,transaction at oneplus,123907.0,Electronics
2025-07-09,transaction at gaana,956.55,Entertainment
2025-08-03,transaction at act fibernet,2486.97,Bills
2025-05-26,transaction at booking.com,28995.33,Travel
2025-05-16,transaction at reliance fresh,4372.86,Grocery
2025-08-02,transaction at ccd,235.14,Food
2025-12-23,transaction at redbus,1299.33,Transport
2025-02-12,transaction at bmtc,1510.59,Transport
2025-02-08,transaction at zee5,169.38,Entertainment
2025-03-16,transaction at netmeds,11556.73,Healthcare
2025-08-21,transaction at apple music,206.22,Entertainment
2025-01-15,transaction at metro rail,1318.26,Transport
2025-11-20,transaction at gaana,984.79,Entertainment
2025-07-12,transaction at aster,2898.85,Healthcare
2025-07-12,transaction at amazon,6885.28,Online Shopping
2025-10-26,transaction at nykaa,9014.08,Online Shopping
